orthogroup gr01 gr02	sp01 sp02	spM01 spM02
OG0000001 -33.2114891188888 -33.8845148260901	-29.7346949407866 -33.1485837313854	-28.0995957357188 -30.9429791274067
OG0000002 -33.8340744623007 -33.9829034836272	-31.6495513703294 -31.9462330777561	-32.2473070445716 -32.0780805791977
OG0000003 -28.7596177911564 -30.8080830439791	-26.9100329455434 -29.069521388037	-26.0838245153723 -27.0756929817723
OG0000004 -31.3019428265571 -31.3050293164681	-30.4601992991174 -30.4618204367125	-28.2795236797962 -28.2733888640894
OG0000006 -25.5716336432593 -25.8685739752829	-22.8579064773432 -24.7393427464339	-24.8702205583708 -24.8823480227573
OG0000007 -26.0871976811944 -26.0916761083326	-23.8691457603293 -23.8869565471627	-24.0873985277908 -24.2748983764129
OG0000008 -16.1287622092031 -16.1246661360606	-14.7114772408625 -15.0631099503347	-11.95137215267 -12.0248158485691
OG0000009 -26.1828578428097 -26.1828598272677	-24.6908150437043 -24.7161910520657	-24.4204113601994 -24.4300847448602
OG0000011 -23.28453117988 -23.284783881787	-21.5571350341657 -21.5482197558036	-21.5594692958295 -21.4280448816995
OG0000012 -29.8246995862948 -29.8306558181998	-28.5204956300713 -28.6693527730289	-27.0717957810642 -26.9038918993546
OG0000013 -29.8540066635474 -30.084720915509	-28.6579484173073 -28.8033848922058	-27.4331428231048 -27.5221540832344
OG0000016 -28.912896597907 -29.146298972139	-27.8501722631933 -27.9758646365107	-26.4774699414042 -26.5488594268032
OG0000017 -27.0661289070587 -27.0204063824798	-25.4505670841081 -25.8073033412758	-25.2870110064141 -25.4062756847888
OG0000018 -27.8574704012812 -27.8566301645571	-25.9564287774201 -25.9607573990551	-27.6029986780029 -27.6124874253764
OG0000020 -26.9156495082247 -27.0692381680091	-24.5871161251719 -25.5696367393106	-25.9628750329811 -25.7440588511618
OG0000021 -27.6079209879093 -27.6080085682824	-26.4032326157356 -26.4227446723723	-25.9649196634711 -25.745910004524
OG0000022 -23.4598639770997 -23.4817124115631	-16.6271626907356 -16.8675768809159	-17.4817496618122 -17.5027704751429
OG0000023 -27.1673856216692 -27.3082915636152	-23.5709732970003 -23.1623298031	-23.9286551598624 -24.461818081261
OG0000024 -28.0498489382562 -28.1258150023626	-26.452193661553 -26.343821056596	-26.7261591723535 -28.0473953845699
OG0000025 -25.3942291130333 -25.3942292409719	-24.2321399714027 -25.7257248645317	-24.1382399080188 -24.2510009976756
OG0000026 -27.1456980013741 -27.1456983818104	-24.0184211676727 -24.1329502300594	-24.6647835837403 -25.0729589173321
OG0000028 -27.5250652947757 -27.525788717997	-26.6214229393333 -26.6314789740703	-25.5053123170137 -25.8417139281891
OG0000029 -26.3435843908598 -26.4918172654354	-25.6136757850597 -25.6636860151401	-21.3495058955088 -21.5394828105411
OG0000030 -20.6854897150006 -20.6512187788182	-19.2136664296187 -19.9960238019284	-19.1825691248459 -20.0610884165363
OG0000031 -26.500781517975 -26.7577362675829	-25.340870721846 -25.8051088082547	-24.1333146613661 -24.5677542530201
OG0000034 -20.9108157009165 -20.8691836716856	-20.3387250943217 -20.0803026329256	-20.6787056029466 -20.1707541944956
OG0000035 -25.5982338129885 -25.5973654700295	-24.0016494542465 -24.2127256128898	-23.0282892652698 -23.1060587174402
OG0000037 -21.8416435427627 -22.4388306116292	-20.5992317933455 -21.0169057171751	-20.617805590016 -21.2259337260981
OG0000038 -25.802565472982 -25.9542619417251	-25.0112833597634 -25.3720150843034	-23.7880154330785 -24.1151743111535
OG0000039 -20.6705838862354 -20.6836504156829	-20.4884886301034 -20.488098172083	-20.2419826138775 -20.2452399239944
OG0000041 -20.2953535285515 -20.2924937144544	-20.2914329159785 -21.5033458679507	-20.2607111698836 -20.2487157796579
OG0000045 -22.6830439930362 -22.6831544046736	-21.8829227370224 -21.8834481382362	-20.8461512169816 -20.8481045273619
OG0000046 -20.7665576958062 -22.8748875655302	-21.1743976541995 -21.0986880783803	-20.5278121456047 -21.7866406723381
OG0000049 -23.797199665962 -23.7971832773892	-23.262070512649 -23.2620926414716	-22.4474902638174 -22.448390748843
OG0000050 -20.9535425501008 -21.0268703604922	-20.2158564283139 -20.2157847576645	-21.0204402469464 -21.0209492119307
OG0000051 -17.5468224764775 -17.9594011994643	-15.9388520454359 -17.0253992506891	-15.9728717787832 -17.9757193236865
OG0000052 -22.9993517407749 -23.0939629133991	-21.8040039019437 -21.8109347944116	-20.862057689243 -20.9551207674803
OG0000053 -15.1662526005732 -16.6424805619177	-16.6260183203493 -16.6235764425097	-15.5088983176273 -16.6020708132359
OG0000054 -21.502508259395 -20.5939414648546	-20.9136484864732 -20.9053896559763	-21.0267104052847 -21.2280176297017
OG0000055 -24.2929944692753 -24.5681148803869	-23.9869169861218 -23.93881628432	-22.7230640553255 -23.0027664061742
OG0000056 -23.1876021875176 -23.1877097237955	-22.7521423735809 -22.5843474593855	-22.6312390107071 -22.5681708667772
OG0000057 -18.0658645183773 -18.0657071303626	-18.0385953222039 -18.0552117581579	-18.0423082327991 -18.0386188055577
OG0000058 -22.5742607317318 -22.5742132022263	-22.1824915698891 -22.1860320197839	-21.7711671097657 -21.771185381506
OG0000061 -22.2799272128947 -22.2799278674892	-20.2165651501915 -20.3194296969357	-17.1415907299193 -17.1417587392794
OG0000062 -20.1463644480828 -22.0555188982994	-20.81603832126 -21.7643903786214	-21.3275680256114 -21.3457243455632
OG0000063 -19.0690034757198 -19.0690417512689	-16.8868205219542 -16.9407045937273	-18.1757335107685 -18.1571208221039
OG0000066 -22.2818660371048 -22.2836612881516	-21.7766418434102 -21.8058099929398	-20.4822448008362 -21.8724896475689
OG0000067 -22.2225291116382 -22.4782471265829	-22.6943844606143 -22.0955349645567	-21.3614809436686 -22.3131216509227
OG0000068 -22.8883618495848 -22.8972559564272	-22.5965964114379 -23.2624071265351	-21.7497801635236 -21.9881422414184
OG0000069 -24.1543671827558 -24.1544510218023	-23.4135248507464 -23.4404703979258	-22.6940821597143 -22.8204448585919
OG0000071 -23.8646042172122 -23.86460582599	-23.0261326501294 -23.0316520931281	-22.0521679830864 -22.0556010458815
OG0000073 -17.6892768645531 -17.6892632902094	-17.266858028136 -17.2668583570415	-16.7403439958164 -16.743601848469
OG0000075 -17.1777278656964 -17.1778103401246	-17.3712815004856 -17.1272634653973	-16.7745087178456 -16.7217350921944
OG0000076 -21.0361361112164 -21.0408146099321	-21.067025027639 -21.6446921573537	-21.4590027120548 -21.4693736779653
OG0000078 -23.2464965582756 -23.2465075322125	-22.5066191687891 -22.5086612884244	-21.4740067467788 -21.477701626628
OG0000079 -23.7601128138171 -23.7607262941246	-22.9189028525792 -22.929905497803	-21.7659382143638 -23.0321139873276
OG0000080 -21.948513253863 -22.224877666808	-21.1371571694062 -21.5273985790197	-21.2973863313076 -21.2437820054475
OG0000082 -16.290383146749 -16.2903574067287	-14.9039188926786 -15.9553102719924	-16.009519977017 -18.6623186424346
OG0000084 -20.5721477828948 -20.7312382789247	-18.8316368157079 -18.8316479033539	-20.1532301864286 -20.1425973330458
OG0000085 -20.443207463509 -21.0217191115612	-20.6629136371325 -20.6629021622765	-19.504420678097 -19.0767362515552
OG0000088 -20.9488584526492 -20.972112563797	-20.2882103046821 -20.2866909734914	-20.2904542098688 -20.3381070167709
OG0000089 -20.3608703883836 -20.6305435981588	-17.5493831741135 -17.5568718050599	-18.1687849672317 -18.1856870344336
OG0000090 -18.889486202662 -22.6924080725211	-21.7704802522533 -20.7229875265715	-19.6035950881632 -19.0117931193338
OG0000091 -22.4376257846429 -22.4378603483893	-21.8469134387619 -21.849787818887	-21.2905155671084 -21.23548689258
OG0000092 -21.3187567271488 -21.5964542771221	-20.8473597302475 -21.2032761974388	-20.3535628804229 -21.0443469972888
OG0000093 -15.9393725139716 -15.9393709734045	-15.7206209746166 -16.2146664100138	-15.7884379583344 -16.1171945235035
OG0000094 -21.5725111466247 -21.5809695166974	-21.5176605272827 -21.2848238861551	-20.314443416174 -20.4530390285772
OG0000095 -22.2440101898768 -22.6963755179451	-22.0079743813834 -22.0076742830171	-21.0404425753539 -21.1200531936679
OG0000096 -15.7978444555468 -15.7978419267619	-15.6137646077613 -15.6134178895176	-15.3824440639633 -17.7701854091038
OG0000097 -21.8705444701044 -21.8729013561212	-21.3620592309218 -21.3184066821491	-21.7136279088759 -20.5028696997169
OG0000098 -22.1159892934633 -22.1158318742224	-21.2005001494548 -21.2005658063863	-20.7520327171335 -20.6816027497721
OG0000100 -18.5704316599254 -18.5704289058009	-18.6076160199962 -18.5687296397361	-18.3288675439471 -18.2789408713504
OG0000101 -19.4705369294245 -19.4705339984173	-18.8102027551798 -18.8102050491464	-18.6027828563153 -18.6000631091496
OG0000102 -20.3913232524203 -20.3819479682443	-20.6589072449307 -20.2412259488948	-19.613124256396 -19.9758763731027
OG0000103 -22.5419978971401 -22.548658412494	-19.9362218929367 -19.944642414127	-22.1807905053556 -22.1243251678902
OG0000104 -14.3506660277255 -15.3090047058192	-7.47189435699779 -8.06081004840811	-12.5665408125199 -10.5860620459002
OG0000108 -21.8223563859838 -22.0401139855088	-21.188274116189 -21.0759480003989	-21.0419779882873 -21.0373044056988
OG0000109 -18.4098404632614 -18.4098381374178	-18.409841518217 -19.1770496831099	-17.5929953205126 -17.5975001777372
OG0000110 -17.5343719064876 -17.5343721335684	-17.3819524358774 -17.381948823262	-17.1713895536539 -17.5343719922844
OG0000111 -17.6758713904562 -17.6758714526238	-17.6758716970395 -18.4161241470375	-17.6566161544206 -17.652403431583
OG0000113 -17.2161006067657 -17.808031753564	-16.1471115318544 -16.3348377415813	-17.4822323815729 -19.9214456860273
OG0000114 -20.9395745586389 -20.9695139428424	-20.5485346113291 -20.9179527480428	-20.0372646315698 -19.9811595436439
OG0000115 -16.0931480114753 -16.0932353021468	-15.9702990269089 -16.3616074768591	-15.2290939335977 -15.533277935771
OG0000116 -14.6818657016607 -14.6818674203708	-14.680097334491 -14.6802190074451	-14.6778170038605 -14.6784308975668
OG0000117 -18.3833829698842 -18.3833953067182	-17.7682478648482 -17.7682818633831	-17.0167055097526 -17.0147062530371
OG0000119 -21.1763896266105 -21.1648840447624	-20.7095995507215 -20.9589187547248	-20.3941554432546 -20.5722176998952
OG0000122 -21.04767247864 -21.3714909963385	-20.81040298654 -20.6419007426778	-20.5420587203497 -21.1964782507747
OG0000124 -16.0018512327501 -16.0017887349488	-15.4447599716933 -15.4462600239143	-15.3914613754135 -15.3908368647019
OG0000125 -19.3032577076535 -19.3090863234474	-18.7946121751876 -18.7946461813529	-18.9272712783076 -19.0246576067745
OG0000126 -14.7569985539813 -15.2666700077249	-9.07713985731692 -9.0761454824978	-12.0799624525334 -11.2666733494047
OG0000127 -21.7130613866773 -21.7137722145102	-20.8641854265707 -20.8714812924495	-20.3594277124583 -20.16745459582
OG0000128 -14.7904065836492 -14.790412146013	-14.5421933909706 -16.2161375587752	-14.7559316515087 -14.7530747523263
OG0000129 -20.1286381749138 -20.1286395453195	-19.0151158267184 -18.9917411042612	-17.4841266319012 -17.4841309533108
OG0000130 -16.1127081539216 -16.3276820187406	-14.6722456288537 -15.0385699644709	-13.0973417301229 -13.4893362024242
OG0000131 -21.2745075750585 -21.2768130378529	-20.7116318567618 -20.7340343476424	-20.1484249431651 -20.165729199914
OG0000132 -18.1634317353604 -18.1634327900614	-18.0859186804315 -17.9622692166715	-16.9728591353478 -17.0470224167262
OG0000133 -21.3927798918009 -21.410057716931	-20.8553136807491 -20.8068618607729	-20.2487538279737 -20.3355534225696
OG0000134 -15.1958726431305 -15.1958759045946	-15.123698402994 -15.222388262656	-14.2021639692146 -15.1871224146985
OG0000137 -19.262897508365 -19.3913062762712	-18.2519814801139 -18.2528042688465	-16.7692868454997 -16.7692868603995
OG0000138 -16.4028869800862 -16.4028890176969	-15.5996626038682 -15.6045288291927	-15.7288889280099 -15.714465455113
OG0000139 -14.6880967056338 -14.688088066963	-14.6368388049124 -14.6368496584712	-14.5806609782705 -18.435313374198
OG0000140 -19.6951811347051 -19.6951842488309	-19.4135610632715 -19.4132125420719	-16.5323714607641 -17.385991774595
OG0000141 -21.3452476470842 -21.35046329225	-20.6184441621907 -20.6179692790932	-20.7979199654525 -20.7933002005739
OG0000142 -17.4325061579392 -17.4325070520956	-17.3802944684071 -17.3798387086307	-17.2929473406948 -17.2928508384347
OG0000143 -16.2975258790871 -16.2975244499513	-15.8509172765574 -15.8511324359603	-15.3497880090085 -15.303545624216
OG0000144 -19.2915729537293 -20.204783587324	-19.1465185872875 -19.1467655460529	-15.9888246613407 -16.678703888183
OG0000145 -20.2441639704141 -20.243921745426	-19.1430047729596 -19.1434023362018	-15.8797795481015 -15.8065181043638
OG0000147 -15.2476608453613 -15.2476602955922	-15.1994523771473 -15.1994528268234	-14.9596040106066 -15.3344784209454
OG0000148 -19.9593369703564 -20.0225541385815	-17.8475647621063 -17.7949928160467	-18.3732268576018 -18.3701689443818
OG0000149 -17.3679255277198 -17.3679254469766	-16.0549055135002 -16.0548917457874	-17.0103931636852 -17.0092686136791
OG0000150 -21.1880628053922 -21.1942897537727	-17.4829149099303 -17.4813833589631	-20.0163395859056 -20.0771388895905
OG0000152 -14.5545148071414 -14.5545136273851	-14.5209495875645 -16.1220447565149	-14.4789924554626 -13.5205030820246
OG0000153 -19.7226795639387 -19.7226422488104	-19.0073296651428 -19.2913953219821	-18.5299361935128 -18.8061679376406
OG0000154 -18.6399177882608 -18.6399178619567	-18.4375607413008 -18.7772257248776	-18.2465659315747 -18.2089186350986
OG0000155 -20.2954163653862 -20.2997770014663	-19.8210267009304 -19.8207517815076	-18.990327347711 -19.068414930098
OG0000156 -19.5454609594494 -19.5454572228726	-19.0227327563136 -19.0227323248899	-19.0030411671192 -18.9961868402978
OG0000161 -19.9826184325198 -19.9826312229934	-19.6000424912729 -19.5989053291907	-17.1797970140445 -17.5076953887676
OG0000162 -14.6763596909054 -14.6763598614633	-14.6570333540694 -14.6668226466861	-14.6327556016123 -14.6324134485655
OG0000163 -19.529821870913 -19.6609804770136	-19.1940563224744 -19.1939751173488	-18.8665810572931 -18.8665618623888
OG0000164 -20.8434395141403 -20.8423681837254	-20.2005783172038 -20.2015382109036	-19.7173336863808 -19.7188426985124
OG0000165 -15.1871846992937 -15.1871821459144	-15.2695046188337 -15.1678593556228	-15.1578261977996 -15.1436971465618
OG0000166 -17.4207776772901 -17.4207776605786	-17.0763044215655 -17.0763052348199	-16.6514700207524 -16.6505294690745
OG0000167 -15.6571892116865 -15.6571885698753	-15.5861663353281 -19.0689932174227	-15.4931158833879 -15.4931073974568
OG0000169 -14.3886701227855 -14.3886752227125	-14.3192807583736 -19.565721020144	-13.9000718928777 -13.8996510350857
OG0000170 -14.9640411531073 -14.9640401420634	-14.9447158613484 -14.9447065156503	-14.9201144567657 -14.920104362278
OG0000171 -15.4748662696418 -15.4748676928051	-15.4555412670661 -15.455923105589	-15.1696744105563 -15.1873211428697
OG0000172 -14.9640411578798 -14.9640401491401	-14.9447145073882 -14.9451592435454	-14.9201144763443 -14.9201124169522
OG0000174 -16.01762826849 -16.0176246577777	-16.0562416479852 -15.9186602600888	-15.9887075156985 -19.4582150427131
OG0000175 -14.2539407088255 -14.2540395964964	-14.0276400763921 -14.2567770147941	-14.4436676996933 -14.2345873942017
OG0000176 -20.6640531058046 -20.6608162976019	-19.8081280796378 -19.8048501353139	-18.8025373181014 -18.830548226917
OG0000177 -20.1171008813097 -20.1171012318216	-19.2887474180001 -19.2845641815197	-18.3648369713765 -18.3642310665337
OG0000178 -16.9979167521441 -16.9979176852623	-16.7001322555656 -16.7001268577872	-16.7489922278596 -16.7499290308854
OG0000179 -20.480660555457 -20.4809605595167	-19.7478011555414 -19.7474906260062	-19.341314028373 -19.3416153295063
OG0000180 -16.8851284309831 -16.8851271790745	-16.4042581522973 -16.4032161367172	-16.85982538714 -18.0316087378894
OG0000181 -17.0674506077849 -17.0674505317802	-16.7705487258621 -16.770548933319	-16.8530320332149 -16.4424346048993
OG0000182 -20.5214123954744 -20.5217010351228	-19.8070805964174 -19.8071607341308	-19.0262412092446 -19.0034964159485
OG0000183 -14.5417218400976 -14.5417204211496	-14.2183437063255 -14.4522552170413	-14.5141300619905 -14.5115884951379
OG0000184 -13.966357645452 -14.2276517264696	-13.9575603535019 -13.963295291519	-13.9463167479248 -13.9464223424632
OG0000185 -14.2539407085168 -14.5370652567032	-14.2495048279725 -14.2478886516301	-14.4436676996933 -14.234252344301
OG0000186 -17.1370142848167 -19.9932769480785	-19.2175006387877 -19.217486669324	-17.5246235908755 -18.3195278816137
OG0000187 -15.1703303944659 -15.1703299002471	-15.1615299888385 -15.1615300319927	-15.1386562010945 -16.4427901803474
OG0000188 -19.9549070004813 -20.3119612289737	-19.8488173224558 -19.8461440222229	-18.9052167881074 -18.8892686139726
OG0000189 -19.3680848461245 -19.3680846550874	-19.1079392549392 -19.1077303110937	-18.5268094223793 -18.58019070205
OG0000190 -17.9857381428209 -17.9858128211756	-17.6780089449365 -17.6778195410797	-16.6232488650175 -16.6313564155771
OG0000191 -20.7957407548647 -20.7990658964703	-20.0731487841462 -20.0820708340808	-19.2812299588788 -19.3065155061936
OG0000193 -14.3080503915783 -14.3080549765431	-14.1756212827998 -14.1756212211521	-14.302404793245 -14.3034649068259
OG0000194 -19.768465566106 -19.7678793357473	-18.9231120188911 -18.9447009787652	-17.9930437212659 -18.0216558179192
OG0000196 -19.7532393644665 -19.7645478332363	-19.3131969258039 -19.3131146650505	-18.660511179252 -18.7178063499227
OG0000197 -17.6107146915042 -17.6107146940111	-17.346251287488 -17.3461528488724	-17.025383908183 -17.1017680860134
OG0000198 -16.9879349196647 -16.9879346996698	-16.7360488824651 -16.7360489396449	-16.8152507020365 -16.719701830218
OG0000200 -17.4141327415836 -17.4141325718139	-17.3351191047523 -17.3344452461027	-17.2058410269174 -17.2058854290829
OG0000201 -17.8668304447387 -17.8668309513196	-17.5873556841145 -17.5873209869863	-17.2552710973977 -17.2551352842445
OG0000202 -19.4926728019302 -19.7478975145023	-19.3238820403519 -19.3237937365508	-18.8443970762842 -18.8204338271094
OG0000203 -19.3937219434824 -19.393744956315	-18.3813378651896 -18.6751234283049	-18.9816063304057 -18.9810520389961
OG0000205 -17.6373431604447 -17.6373431931746	-17.3975410586851 -17.3975280871282	-17.1084751242427 -17.1082771286813
OG0000206 -18.1644574182662 -19.8461106075966	-19.1707495176312 -19.1699797993274	-18.4224008867389 -18.4181632446979
OG0000207 -20.0481932829026 -20.0481824325574	-19.3815249254146 -19.3813756101278	-18.9753433074074 -18.9752246181572
OG0000208 -17.9467770905799 -17.9467760534057	-16.9681928498973 -16.9681926682787	-17.482731623795 -17.6750111732908
OG0000209 -15.8022562059791 -15.8229872548536	-15.8022672120176 -15.9853271424357	-15.802287082079 -15.8022562720504
OG0000210 -15.4657839578755 -15.465779590217	-15.4670199412331 -15.4657843159634	-15.3272739335591 -15.3539637927342
OG0000212 -14.9549582635898 -14.9549583871182	-14.7453394406845 -15.5825891362619	-14.8466352257216 -14.8431263764019
OG0000213 -13.7509856379106 -13.7758023770914	-13.5791264154847 -13.5809652788198	-8.40662753016608 -16.3880315177395
OG0000214 -18.1969882168379 -19.2874415559276	-18.1371374898211 -19.460275310548	-17.8674886301404 -18.7275364486453
OG0000215 -14.9549582635892 -14.9549576932306	-14.9549583196422 -15.1977180978291	-14.8425414507281 -14.8431263763945
OG0000216 -18.6988697976872 -18.6988704105028	-18.3605180896563 -18.3605084686652	-18.1211740477751 -18.1208495690555
OG0000217 -17.8144644318245 -17.8144644743155	-15.5970440189176 -15.5972048962897	-15.5652491061137 -15.5656949733594
OG0000218 -17.9796256341676 -17.9796228877707	-17.668161750686 -17.6697119509802	-17.5005832336397 -18.0817178517731
OG0000219 -14.9549582635905 -14.9549582453516	-14.9549584797949 -15.0429024125328	-14.974320470669 -14.9549599738652
OG0000220 -17.0343998460171 -17.0343999844759	-17.0344182267517 -17.0344004228	-16.8742372087503 -16.9274410626941
OG0000221 -17.6373431833833 -17.6373431773317	-17.5309559956781 -17.5308303973817	-17.344516018268 -17.3634378851872
OG0000222 -17.3335434304438 -17.3335434139621	-17.2207138791106 -17.2269212897969	-16.9143412811104 -16.5118667635193
OG0000224 -19.6685466431815 -19.6627603347205	-19.1606811695073 -19.1601685506832	-19.3168043169903 -18.9442798384029
OG0000228 -19.5635616750754 -19.5635755351931	-18.31058162995 -18.3129682392831	-17.2229200334193 -17.7468754913383
OG0000229 -16.9673771780028 -16.9673773993213	-16.7607671314027 -16.7607616170293	-16.8080944546086 -16.808346404855
OG0000230 -14.2430584628167 -16.529300249794	-14.2406825998388 -14.2406825229137	-12.1419890772165 -13.6056004692855
OG0000232 -19.94760636614 -19.9477038271423	-19.3012722595807 -19.3003639827466	-18.6160365516087 -18.5913115944332
OG0000233 -18.2896246517612 -18.2896100608548	-18.0056161752297 -18.005618518254	-17.6740967414293 -17.7179026412989
OG0000234 -15.9170359890055 -15.9170361168202	-15.6954411884139 -15.6993100283733	-15.912495288398 -15.9116347782553
OG0000235 -15.51157112952 -15.5115711585728	-15.3420551677577 -15.3412528255681	-15.1287441926954 -16.6932651010798
OG0000236 -14.3076003354497 -14.3075974610514	-14.1372852317031 -14.1401918234103	-13.9247717022491 -13.9686002260318
OG0000237 -14.2430404531011 -16.5293003215825	-14.0727417704089 -14.0727415166279	-14.173956796809 -14.1735133840918
OG0000238 -16.07118678175 -16.0711849216567	-15.90086854673 -15.9013513306539	-15.6884156647318 -15.803567999481
OG0000239 -15.4470323034553 -15.4511869505403	-15.4446550846928 -15.4446580183552	-15.4415880418035 -15.4440842531532
OG0000245 -18.3330859202746 -18.333094040644	-18.0645159735498 -18.1865455572226	-17.937761291915 -17.7205828394546
OG0000246 -19.021115815338 -19.2078430954837	-18.5891449905201 -18.5891691303421	-18.5367106228043 -18.5726596679595
OG0000247 -14.5913029288034 -14.5913023073903	-14.4545063866982 -14.4570776734072	-14.5553532614008 -15.5496961585809
OG0000248 -13.9626946317582 -15.0180304647293	-12.9307028696821 -13.9018493327421	-13.9023152651684 -13.7532967049615
OG0000249 -16.1317383941949 -16.1317473790435	-16.0456095566852 -15.9975232771668	-15.0957029831699 -16.2198733831357
OG0000250 -15.5713578035559 -15.5721316128789	-15.4381062636374 -15.4379069813244	-15.3730744101885 -15.5496934982905
OG0000252 -19.2036688853527 -19.2958645694009	-18.9598940117766 -18.9599217474972	-19.0453260418054 -19.1104536277722
OG0000254 -16.2835864321625 -16.6707438907068	-16.3985169792012 -16.3969627332677	-16.3816330788596 -16.3808990633686
OG0000255 -18.9883275841258 -19.0215793273556	-18.3989926424685 -18.3989916758512	-18.1284644092259 -18.1273125898887
OG0000256 -19.273526585935 -19.2735386895172	-18.6548631982167 -18.714601423607	-16.7321250544557 -17.617784255821
OG0000257 -16.131744992901 -16.1317473790435	-16.1158560635127 -17.1189436582351	-16.0519790126884 -16.0532996595944
OG0000258 -16.2008100701605 -16.2007402622313	-15.3690174641426 -15.3690167156574	-15.5491793523389 -15.6727390661089
OG0000259 -15.6774372562382 -15.6774921285566	-15.5432674742456 -15.5432686779075	-15.3753406997834 -17.9002463278896
OG0000260 -16.0829576673479 -16.0829573058	-15.257543349503 -15.2575430559592	-15.2149982945717 -15.2275656441089
OG0000262 -17.9985173861533 -17.998529548751	-17.7698182191096 -17.7697463312638	-17.4901145275843 -17.4116647976862
OG0000263 -19.4038358185277 -19.4036234969042	-17.3644669079515 -18.0646229885521	-18.5816641208015 -19.2535037060066
OG0000264 -14.4735158051861 -14.4735192755484	-14.4637445808821 -14.4821187607265	-14.3432044584408 -14.4364837963746
OG0000265 -18.6392339612482 -18.6410171005043	-17.7834601848908 -17.7952164718221	-16.7933678101567 -16.8399167090759
OG0000271 -15.1872172039948 -15.1872161372701	-15.0856041158369 -15.0856057104359	-15.1737210159301 -15.1222673572486
OG0000272 -17.1460038401663 -17.1460099274658	-16.9498311126698 -16.9498294250555	-16.7133624291755 -16.7171689900705
OG0000273 -13.8654672476118 -13.865459671776	-13.7638489522679 -13.7638596528601	-13.6363413188202 -13.654323036065
OG0000274 -14.4143608687904 -14.893505347874	-13.8394966139436 -13.8395124572513	-14.4899472334078 -14.5194740810122
OG0000276 -18.9302480113512 -18.9377628623916	-18.3485702661454 -18.3486633497488	-18.0307446858076 -18.0306704864519
OG0000277 -14.270914530469 -14.2709254119055	-13.9398461141365 -13.9398358777947	-14.2246763653814 -14.2188953840421
OG0000279 -14.2709363120231 -16.3116875213333	-14.1693137818914 -15.5849765541877	-14.0418000851113 -14.0468855945124
OG0000281 -13.5777956433483 -14.099017203718	-13.4761728909081 -12.0346834504055	-13.3489558773049 -13.4764269239325
OG0000283 -14.6763915490774 -14.7111870301866	-13.9269496456427 -13.9270808808497	-14.4477584066821 -14.4472635766702
OG0000284 -14.6763744626996 -14.6763905723689	-14.6537587993984 -14.6537653804144	-14.6623884894959 -14.6627487634622
OG0000285 -13.865469317548 -13.865459671776	-13.8428274292125 -13.842847637637	-13.8989455570648 -14.5736538647406
OG0000286 -16.3120815974949 -16.3120819843407	-16.1874988987531 -16.1874986853571	-16.0244569661334 -16.5458164071518
OG0000287 -14.558605432226 -14.5586074709581	-14.4570075019909 -14.4620845692251	-14.5453331587242 -14.5504265546779
OG0000289 -13.9832479372823 -13.9832427074323	-13.6521523539773 -13.7883436208416	-12.622528530849 -13.6696972051315
OG0000290 -15.2925780511612 -15.2925744599028	-15.2699391439032 -15.2699432912689	-15.0536753439337 -15.0634203153332
OG0000291 -18.3513578873914 -18.3513505113448	-17.7511310510024 -17.7508448985953	-17.0651404414181 -17.060685035522
OG0000292 -15.8803521415425 -16.1714495443269	-15.7620748234395 -15.5764244853532	-15.5705224609533 -15.5667729097346
OG0000293 -13.2900896307559 -13.2900955635835	-13.2674616605449 -13.4530188246015	-13.3085017519203 -13.2546751142813
OG0000294 -14.7817682732461 -14.893505347874	-14.6804541969694 -15.8289749989797	-13.879532625945 -14.0338544853473
OG0000295 -14.0881755397362 -14.0886035265048	-14.0659704617003 -15.2231773308645	-13.2900689229937 -13.3099815993446
OG0000296 -14.7818483601554 -16.5462615864203	-14.679882784184 -14.6801361396872	-14.7685532231441 -14.7682146483651
OG0000298 -15.4049263311746 -15.4576060487081	-12.814278121359 -12.8045376643038	-11.8492817917769 -11.9422897646552
OG0000303 -15.0483056055548 -15.4401777013556	-14.975563092942 -14.9758162384654	-14.5617035026594 -14.6310408399262
OG0000304 -16.9680905974404 -17.257716992528	-16.7863016082288 -16.786149445058	-16.6884283371464 -16.6879282836492
OG0000305 -15.0483048383769 -15.4337722196186	-14.3732764106314 -14.4079790808891	-14.4043238830365 -14.4156713814263
OG0000306 -13.7265473763605 -13.7265014785664	-13.6537572837009 -13.6537609006552	-11.344620337722 -11.100168249234
OG0000307 -14.1320120354231 -14.1320137516212	-14.0592247010388 -14.0592242194213	-13.9675873502552 -13.971395847409
OG0000308 -13.4388670024393 -13.4388628538634	-13.3660862346053 -13.368540731971	-13.2744113939651 -16.3756537650743
OG0000309 -14.5374778226039 -14.5374773387177	-14.1375520114713 -14.1375499616828	-14.4431707650804 -14.4419072541931
OG0000310 -13.4388681349704 -13.4388628538634	-13.3660751213877 -13.368540731971	-13.2745555259254 -13.3013428682478
OG0000311 -15.0483044438141 -15.0483043838735	-14.3732862439306 -14.3732861655613	-14.4332910998125 -14.4156713814284
OG0000312 -13.5566462593122 -13.8989310442513	-13.515199936993 -13.6426989110056	-13.4610751486994 -13.4610231834065
OG0000313 -14.3551569146813 -14.355155782467	-14.3137074818402 -14.3137071184821	-14.1879718837333 -14.2183109153349
OG0000314 -17.3478018842513 -17.4122087490188	-17.1377928823615 -17.1378374404366	-16.6917553572378 -16.6003596118769
