orthogroup gr01 gr02	sp01 sp02	spM01 spM02
OG0006380 -9.69314681106907 -9.69314623217989	-9.69314734394983 -9.69314678273689	-9.69314744298633 -9.69314731621808
OG0006381 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006382 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006383 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006384 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006385 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006386 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006387 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006388 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006389 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006390 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006391 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006392 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006393 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006394 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006395 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006396 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006397 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006398 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006399 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006400 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006401 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006402 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006403 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006404 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006405 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006406 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006407 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006408 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006409 -9.6931468110263 -9.69314623217989	-9.6931473439457 -9.6931467827369	-9.69314744286167 -9.69314731621809
OG0006410 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006411 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006412 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006413 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006414 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006415 -9.69314681106894 -9.69314623217989	-9.69314734394983 -9.69314678273689	-9.69314744298634 -9.69314731621808
OG0006416 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006417 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006418 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
