LR999950.1 4000001 6000000 45003
LR999950.1 6000001 8000000 87362
LR999950.1 8000001 9960137 53296
LR999951.1 1 2000000 26136
LR999951.1 2000001 4000000 86870
LR999951.1 4000001 6000000 42558
LR999951.1 6000001 8000000 54663
LR999951.1 8000001 9839934 42364
LR999952.1 1 2000000 71761
LR999952.1 2000001 4000000 44217
LR999952.1 4000001 6000000 76671
LR999952.1 6000001 8000000 65499
LR999952.1 8000001 8262369 842
LR999953.1 1 2000000 93605
LR999953.1 2000001 4000000 58610
LR999953.1 4000001 6000000 91767
LR999953.1 6000001 8000000 59542
LR999953.1 8000001 8178468 3289
LR999954.1 1 2000000 72043
LR999954.1 2000001 4000000 56877
LR999954.1 4000001 6000000 37105
LR999954.1 6000001 7379297 43906
LR999955.1 1 2000000 82187
LR999955.1 2000001 4000000 82882
LR999955.1 4000001 6000000 72639
LR999955.1 6000001 6166334 164
