chrome begin end count_genes length_genes
LR999952.1 8000001 8262369 0 
LR999953.1 1 2000000 77 632867
LR999953.1 2000001 4000000 77 287223
LR999953.1 4000001 6000000 80 465854
LR999953.1 6000001 8000000 52 534906
LR999953.1 8000001 8178468 3 8287
LR999954.1 1 2000000 61 605122
LR999954.1 2000001 4000000 58 617138
LR999954.1 4000001 6000000 28 289245
LR999954.1 6000001 7379297 36 457463
LR999955.1 1 2000000 66 627360
LR999955.1 2000001 4000000 64 555077
LR999955.1 4000001 6000000 61 648368
LR999955.1 6000001 6166334 0 
